reaction_id,EC Number,BEC-Pred,CLAIRE,SelenzymeRF,SIMMER,Theia,MajorityVote,MajorityVoteCore4
18882,6.3.2.18,6.3.2,6.3.2;6.3.1;6.3.4;6.2.1,6.3.4.24;6.3.1.11;6.3.1.2|6.3.1.6,6.3.4;6.3.2,6.3.1;6.3.2;6.3.4;3.5.2;6.3.5,6.3.2,6.3.4
19358,1.14.13.247,1.14.13,1.14.19;1.14.14;1.14.13;4.1.99,1.14.13.225|1.6.3.1;1.6.3.2;1.11.1.6|1.14.13.225|1.3.1.95|1.6.3.1|1.6.3.3|1.6.99.3,1.14.13,1.14.13;1.6.3;1.14.19;1.18.1;1.17.1,1.14.13,1.14.13
19390,6.2.1.34,6.2.1,6.2.1;6.3.1;2.7.7;6.3.2,6.2.1.13;6.2.1.9;6.2.1.18;2.3.3.8|4.1.3.6;6.2.1.5,6.2.1;2.3.1,6.2.1;1.2.1;2.3.1;3.1.2;2.3.3,6.2.1,6.2.1
20094,2.4.1.115,2.4.1,2.3.1;2.4.2;2.4.1;2.7.8,2.4.1.294;2.4.1.116;2.4.1.298;2.4.1.297;2.4.1.358;2.4.1.234;2.4.1.81;2.4.1.170;2.4.1.237;2.4.1.91;2.4.1.337;2.4.1.336;2.4.1.46;2.4.1.239;2.4.1.315;2.4.1.241;2.4.1.122;2.4.1.86;2.4.1.38;2.4.1.118;2.4.1.238;2.4.1.220;2.4.1.114|2.4.1.35;2.4.1.128;2.4.1.37;2.4.1.111;2.4.1.253;2.4.1.249;2.4.1.87,2.4.1,2.4.1;2.4.2;2.3.1;2.7.8;2.7.1,2.4.1,2.4.1
20330,2.7.11.29,2.7.11,2.8.2;2.4.3;2.3.2;2.7.11,2.7.1.31;2.7.1.210;2.7.1.189;2.7.1.220;2.7.1.219;2.7.1.28;2.7.1.103;2.7.1.16|2.7.1.47;2.7.1.17;2.7.1.53;2.7.1.30,2.7.11,2.7.11;2.7.12;2.7.1;2.7.8;2.7.4,2.7.1,2.7.1
20350,1.14.13.243,1.14.13,1.14.19;1.14.14;1.14.13;1.14.15,1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3;1.14.12.11;1.14.12.14;1.14.12.22;1.6.5.4;1.14.12.23;1.14.12.13;1.14.12.1;1.14.12.-|1.14.12.26;1.11.1.1|1.14.12.17,1.14.13,1.14.13;1.6.3;1.14.12;1.6.5;1.3.1,1.14.13,1.14.13
20362,1.14.15.45,1.14.15,1.14.15;1.14.19;1.14.14;1.14.18,1.14.13.-|1.14.13.240;1.14.12.22;1.14.12.14;1.14.12.1;1.14.12.13;1.14.12.23;1.14.13.23;1.21.3.6;1.14.13.20;1.14.13.81;1.13.12.17;1.14.13.122;1.14.13.39;1.16.3.1,1.2.99,1.14.15;1.14.19;1.14.13;1.13.11;1.14.99,1.14.15,1.14.15
20713,2.3.1.47,2.3.1,3.1.2;3.13.1;2.3.2;6.2.1,2.3.1.50;2.3.1.37;2.3.1.230;2.3.1.206;2.3.1.165;2.3.1.156;2.3.1.239;2.3.1.236;2.3.1.237;2.3.1.94;2.3.1.216;2.3.1.235;2.3.1.151|2.3.1.177|2.3.1.220;1.3.1.-|2.3.1.170|2.3.1.74,2.3.1,2.3.1;2.6.1;2.3.3;6.2.1;4.1.1,2.3.1,2.3.1
20733,1.8.4.16,1.8.4,2.3.1;2.3.3;2.5.1;2.7.8,2.6.1.1|2.6.1.3;6.3.2.2,5.1.3;5.1.1,2.7.4;2.7.8;2.3.1;5.2.1;2.6.1,2.3.1,2.6.1
20929,1.8.5.9,1.8.4,1.8.5;1.8.98;1.8.7;2.8.1,,1.8.4,1.8.5;1.3.5;1.1.5;1.6.5;1.8.4,1.8.4,1.8.4
22265,1.14.14.172,1.14.14,1.14.15;1.14.14;1.14.19;1.14.20,1.14.14.15;1.14.19.56;1.14.14.30;1.14.14.3;1.14.14.5;1.14.14.13;1.14.14.28;1.14.14.27;1.14.19.49;1.14.14.9;1.14.14.20;1.14.14.11;1.14.19.60;1.14.14.7|1.14.19.9;1.14.19.59;1.14.19.58;1.14.14.35;1.14.99.46,1.14.14,1.14.14;1.14.19;1.5.8;1.5.1;1.14.99,1.14.14,1.14.14
22685,1.14.99.65,1.14.99,1.21.3;1.10.3;1.14.18;1.17.3,1.3.3.6;1.14.11.18;1.14.11.39;1.1.3.15;1.4.3.2;1.4.3.3,1.14.18,1.14.99;1.14.19;1.97.1;1.5.99;1.17.99,1.14.99,1.14.99
23121,7.4.2.9,6.3.4,7.1.1;1.6.1;3.6.1;2.7.7,6.3.2.4,7.3.2;7.2.2,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,3.6.1,3.6.1|6.3.2|6.3.4|7.3.2
23817,2.6.1.82,2.6.1,5.4.3;2.6.1;4.3.99;4.1.3,2.6.1.48;2.6.1.11|2.6.1.13;2.6.1.13|2.6.1.81,2.6.1,2.6.1;4.1.1;1.4.1;5.4.3;4.4.1,2.6.1,2.6.1
24025,2.6.1.115,2.6.1,2.6.1;4.1.3;4.1.1;2.2.1,2.6.1.30;2.6.1.37;2.6.1.40;2.6.1.108;2.6.1.18;2.6.1.77;2.6.1.-|2.6.1.113|2.6.1.29;2.6.1.-|2.6.1.19|2.6.1.96,,2.6.1;5.4.3;1.4.1;4.4.1;4.3.1,2.6.1,2.6.1
24449,2.4.1.369,2.4.1,2.7.8;2.3.1;2.4.2;2.4.1,2.4.1.297;2.4.1.298;2.4.1.237;2.4.1.239;2.4.1.208;2.4.1.241;2.4.1.315;2.4.1.358;2.4.1.91;2.4.1.46;2.4.1.337;2.4.1.336;2.4.1.170;2.4.1.122;2.4.1.86;2.4.1.87;2.4.1.38;2.4.1.62;2.4.1.274;2.4.1.47;2.4.1.275,2.4.1,2.4.1;2.4.2;2.7.4;2.7.8;2.7.7,2.4.1,2.4.1
24830,6.3.1.21,6.3.2,4.1.3;3.7.1;4.1.1;2.6.1,6.3.4.3,2.7.13;2.7.3;2.7.1,6.3.1;6.3.4;6.3.2;3.5.2;6.3.3,6.3.4,6.3.4
26157,1.1.1.292,1.1.1,7.2.4;1.3.1;2.3.1;1.2.1,1.1.1.120|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.1.1.48|1.3.1.20;1.1.1.119|1.1.1.179|1.1.1.359|1.1.1.360|1.1.1.47|1.3.1.20;1.11.1.1|1.11.1.2;1.6.3.2;1.12.1.3|1.12.1.5;1.1.1.376;1.1.1.122|1.1.1.316;1.1.1.121|1.1.1.376|1.1.1.48;1.6.5.4;1.1.1.118|1.1.1.121|1.1.1.359|1.1.1.370|1.1.1.47;1.1.1.413;1.1.1.363|1.1.1.47|1.1.1.49,1.1.1,1.1.1;5.1.3;1.17.1;1.12.1;1.4.1,1.1.1,1.1.1
27611,1.17.98.5,,1.2.99;3.7.1;1.2.2;1.1.99,1.17.5.3;1.17.1.9|1.2.1.2;1.17.1.11;1.1.98.6;1.17.2.3;1.17.98.4;1.17.1.10|1.2.1.43;1.8.98.6;4.1.1.47;1.13.11.81;1.13.11.41;1.2.1.19|1.2.1.3|1.2.1.46|1.2.1.5;1.2.98.1|1.2.99.4,,4.1.1;1.2.2;1.17.98;1.2.3;1.2.98,1.17.1|1.2.2,1.17.1
27651,2.7.1.48,2.7.1,7.2.4;7.1.1;1.17.9;3.2.1,2.7.1.213|2.7.1.48,2.7.1,2.7.1;2.7.4;2.7.8;2.7.12;2.7.11,2.7.1,2.7.1
27711,2.7.1.73,2.7.1,2.4.2;2.4.1;2.7.7;2.7.4,2.7.1.73;2.7.1.-|2.7.1.213|2.7.1.48|2.7.1.74,2.7.1,2.7.1;2.7.4;2.7.8;2.7.12;2.7.11,2.7.1,2.7.1
27759,1.4.1.27,1.5.1,1.12.99;1.5.99;1.21.99;1.1.99,2.1.1.74,1.5.1,2.1.2;1.5.1;4.3.1;2.1.1;1.4.1,1.5.1,1.5.1
27787,1.2.1.105,1.2.1,2.3.1;2.7.7;2.1.1;7.2.4,1.2.1|1.2.1.25|1.2.4.4|1.8.1.4|2.3.1.168;1.1.1.35,1.2.1,2.3.1;1.1.1;1.2.1;1.8.1;1.4.1,1.2.1,1.2.1
28011,2.8.3.27,2.8.3,2.8.3;4.2.99;4.1.3;5.4.1,2.8.3.18|2.8.3.5;2.8.3.22|2.8.3.7;2.8.3.20;2.8.3.1|2.8.3.12|2.8.3.18;6.2.1.13;6.2.1.1|6.2.1.17,2.8.3,2.8.3;2.7.4;2.3.1;5.2.1;6.2.1,2.8.3,2.8.3
28043,1.2.1.104,1.2.1,2.3.1;2.3.3;2.3.2;2.4.2,1.2.1.51;1.2.1|1.2.1.18|1.2.1.27;1.2.1.25|1.2.4.4|1.8.1.4|2.3.1.168|2.7.11.4;1.2.1.58,1.2.1,1.2.1;1.1.1;2.3.1;1.8.1;2.3.3,1.2.1,1.2.1
28051,3.1.3.108,3.6.5,2.9.1;6.5.1;3.6.1;3.9.1,2.7.1.23,3.1.3,3.1.3;3.6.1;3.6.5;3.6.4;2.7.7,3.1.3,3.1.3
28191,3.5.4.4,3.5.4,3.5.1;3.5.3;3.5.99;3.5.2,3.5.4.46;3.5.4.40;3.5.4.41;3.5.4.31;3.5.4.2,3.5.4,3.5.4;3.5.1;6.3.4;3.5.5;3.5.99,3.5.4,3.5.4
28331,3.6.1.73,3.6.4,3.2.1;3.6.1;3.6.4;5.6.2,6.3.1.2,3.6.5,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,3.6.4,3.6.5
28375,6.3.2.10,6.3.2,2.4.2;2.3.3;2.3.1;2.7.7,6.3.2.10;6.3.2.45;6.3.2.8,6.3.2,6.3.2;2.7.7;3.6.4;3.6.5;6.3.1,6.3.2,6.3.2
28387,2.7.8.13,2.7.8,4.1.3;3.7.1;2.3.1;2.3.2,2.7.8.13,2.7.8,2.7.4;2.7.8;2.3.1;5.2.1;2.6.1,2.7.8,2.7.8
28403,2.4.99.23,2.7.8,2.4.2;2.7.4;2.4.1;2.7.1,2.7.1.166;2.7.1.130,2.4.99,2.7.1;2.4.1;2.7.4;2.4.2;2.7.7,2.7.1,2.7.1
28407,3.6.1.73,3.6.1,3.2.1;3.6.5;3.6.4;5.6.2,6.3.2.31;6.3.1.2,3.6.1;3.6.5,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,3.6.1,3.6.1
28539,2.4.99.24,2.7.8,2.7.8;2.3.1;2.4.2;2.4.1,2.7.1.166;2.7.1.130,2.4.99,2.7.1;2.7.4;2.4.2;2.7.7;2.4.1,2.7.1,2.7.1
28676,5.1.3.3,5.3.1,5.1.3;5.1.2;5.3.1;5.3.99,5.1.3.3;5.4.99.62,5.1.3;5.1.1,5.1.3;3.2.1;2.4.1;5.3.1;2.3.1,5.1.3,5.1.3
29768,7.4.2.11,6.3.4,2.7.7;2.4.2;2.7.1;2.4.1,6.3.1.2,7.3.2;7.2.2,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,2.7.7|3.6.1|6.3.1|6.3.4|7.3.2,3.6.1|6.3.1|6.3.4|7.3.2
29776,2.7.1.239,2.7.1,2.4.2;2.4.1;2.7.4;2.7.1,2.7.1.212;2.7.1.1|2.7.1.2|2.7.1.4|2.7.1.55|2.7.1.60|2.7.1.7,2.7.1,2.7.1;2.7.4;2.7.8;5.4.2;2.7.12,2.7.1,2.7.1
29780,7.4.2.11,7.4.2,2.7.7;2.4.2;2.7.1;2.4.1,6.3.1.2,7.3.2;7.2.2,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,2.7.7|3.6.1|6.3.1|7.3.2|7.4.2,3.6.1|6.3.1|7.3.2|7.4.2
29792,7.4.2.10,6.3.5,2.3.3;7.1.1;3.2.1;2.4.1,6.3.2.3;6.3.1.8|6.3.1.9;6.3.2.23;6.3.2.2,7.3.2;7.2.2,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,6.3.2,6.3.2
29796,7.2.2.20,7.2.2,1.1.98;1.2.2;1.5.8;3.5.99,6.3.1.2,7.3.2;7.2.2,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,7.2.2,7.2.2
29800,7.5.2.8,6.3.4,7.1.1;1.6.1;1.16.3;3.6.1,2.7.1.1|2.7.1.55;6.4.1.8;6.3.1.10;6.3.4.6;6.3.4.16|6.3.5.5,7.3.2;7.2.2,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,6.3.4,6.3.4
29812,7.6.2.15,7.6.2,1.16.3;7.1.1;1.6.1;1.7.7,2.7.1.89;6.4.1.8;6.3.1.10;6.3.4.6;6.3.4.16|6.3.5.5,7.3.2;7.2.2,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,1.16.3|2.7.1|3.6.1|7.3.2|7.6.2,2.7.1|3.6.1|7.3.2|7.6.2
29996,7.6.2.16,7.2.2,3.6.1;2.7.7;3.6.5;3.6.4,6.3.1.10;6.4.1.8;6.3.4.16|6.3.5.5;6.3.4.6,7.3.2;7.2.2,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,3.6.1,7.2.2
30000,7.6.2.11,6.3.4,3.6.4;5.6.2;3.6.1;1.1.7,6.3.1.10;6.4.1.8;6.3.4.16|6.3.5.5;6.3.4.6,7.3.2;7.2.2,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,6.3.4,6.3.4
30084,1.16.3.4,1.16.3,1.16.3;1.14.18;1.14.99;1.97.1,1.14.13.225|1.6.3.1;1.14.13.9;1.11.1.6|1.14.13.225|1.3.1.95|1.6.3.1|1.6.3.3|1.6.99.3,5.1.3;5.1.1,1.16.3;1.4.9;1.20.9;1.15.1;1.17.9,1.16.3,1.14.13
30112,3.1.1.108,1.11.1,1.7.99;1.14.99;1.16.3;1.7.3,6.3.2.14;2.3.1.165;2.3.1.151;2.3.1.151|2.3.1.177|2.3.1.220;2.3.1.237;2.3.1.236;2.3.1.159;2.3.1.156|2.3.1.74,,3.1.1;4.2.1;3.8.1;3.3.2;1.2.98,2.3.1,2.3.1
30392,2.6.1.117,2.6.1,2.6.1;1.3.98;5.4.3;4.1.3,2.6.1.5|2.6.1.57|2.6.1.88;2.6.1.15|2.6.1.64;2.6.1.-|2.6.1.100;2.6.1.1|2.6.1.3;2.6.1.1|2.6.1.42|2.6.1.57|2.6.1.6|2.6.1.67|2.6.1.88,,2.6.1;2.7.4;2.3.1;5.4.3;2.7.8,2.6.1,2.6.1
30688,4.1.3.16,4.1.3,4.1.2;3.7.1;1.1.99;4.1.3,4.1.3.16|4.1.3.42;2.3.3.9|4.1.3.2;4.1.2.20;4.1.2|4.1.2.-|4.1.2.52,4.1.3,4.1.3;4.1.2;1.1.99;1.1.2;5.3.2,4.1.3,4.1.3
30700,2.6.1.120,2.6.1,5.4.3;2.2.1;2.6.1;5.3.2,2.6.1.48;2.6.1.4|2.6.1.44|2.6.1.7;2.6.1.11|2.6.1.13,2.6.1,2.6.1;4.1.1;5.4.3;1.4.1;4.3.1,2.6.1,2.6.1
30872,2.7.1.229,2.7.1,2.4.2;2.7.4;2.4.1;2.7.1,2.7.1.113|2.7.1.145|2.7.1.20|2.7.1.74|2.7.1.76;2.7.1.145|2.7.1.20|2.7.1.21|2.7.1.213|2.7.1.74|2.7.1.76,2.7.1,2.7.1;2.7.4;2.7.8;2.7.12;2.7.11,2.7.1,2.7.1
31156,1.2.1.88,1.2.1,1.12.98;3.7.1;1.2.2;1.2.99,1.2.1.88|1.5.1.12;1.6.5.4;1.1.1|1.14.13.7|1.3.98.1|1.6.3.2|1.6.3.4|1.6.99.3,1.5.1,1.2.1;1.4.1;1.17.1;1.7.1;1.3.1,1.2.1,1.2.1
31228,2.4.1.227,2.7.8,2.4.2;2.7.7;2.4.1;2.7.4,2.4.1.227,2.4.1,2.4.1;2.4.2;2.7.8;3.6.1;2.7.4,2.4.1,2.4.1
31236,2.6.1.23,2.6.1,4.1.3;2.6.1;1.1.99;3.7.1,2.6.1.1|2.6.1.42|2.6.1.57|2.6.1.6|2.6.1.67|2.6.1.88,,2.6.1;2.7.4;2.3.1;5.1.1;2.7.8,2.6.1,2.6.1
31416,4.2.3.226,4.2.3,4.2.3;3.1.7;4.2.1;5.4.99,4.2.3.39;4.2.3.56|4.2.3.58;4.2.3.-|4.2.3.129;4.2.3.37;4.2.3.-|4.2.3.128;4.2.3.-|4.2.3.127;4.2.3.7;4.2.3.68;4.2.3.87;4.2.3.74;4.2.3.157;4.2.3.136;4.2.3.96;4.2.3.62;4.2.3.24;4.2.3.67;4.2.3.160;2.5.1.31;2.5.1.88;4.2.3.78;4.2.3.163;4.2.3.73;4.2.3.165;4.2.3.80;4.2.3.172;4.2.3.184;4.2.3.198|4.2.3.66;4.2.3.170;4.2.3.175;4.2.3.79;4.2.3.133;4.2.3.83;4.2.3.181;4.2.3.76;4.2.3.164|4.2.3.ek;4.2.3.21;4.2.3.6;4.2.3.9;4.2.3.61;4.2.3.90;4.2.3.182;2.5.1.86,4.2.3,4.2.3;5.5.1;5.3.3;5.4.99;2.5.1,4.2.3,4.2.3
31424,4.2.3.227,4.2.3,4.2.3;3.1.7;2.1.1;2.5.1,4.2.3.7;4.2.3.96;4.2.3.69;2.5.1.31;2.5.1.88;4.2.3.-|4.2.3.129;4.2.3.160;4.2.3.62;4.2.3.37;2.5.1.86;4.2.3.79;4.2.3.136;4.2.3.68;4.2.3.74;4.2.3.6;4.2.3.-|4.2.3.104;4.2.3|4.2.3.-|4.2.3.56;4.2.3.172;4.2.3.93;4.2.3.64;4.2.3.39;4.2.3.169;4.2.3.181;4.2.3.157;4.2.3.80;4.2.3.73;4.2.3.198|4.2.3.66;4.2.3.87;4.2.3.133;4.2.3.164|4.2.3.ek;4.2.3.101|4.2.3.102;4.2.3.76;4.2.3.163;4.2.3.24;4.2.3.22;4.2.3.90;4.2.3.21,4.2.3,4.2.3;5.5.1;5.4.99;2.5.1;5.3.3,4.2.3,4.2.3
32588,1.14.13.105,1.14.13,1.14.19;1.14.13;1.14.14;1.14.15,1.14.13.105;1.14.13.225|1.6.3.1;1.6.3.2;1.11.1.6|1.14.13.225|1.3.1.95|1.6.3.1|1.6.3.3|1.6.99.3,1.14.13;1.3.1;1.1.1,1.14.13;1.1.1;1.6.3;1.14.19;1.4.1,1.14.13,1.14.13
32764,6.3.2.59,6.3.2,6.3.1;6.3.2;6.4.1;6.2.1,6.3.2.20;6.3.2.37;6.3.1.8|6.3.1.9;6.3.2.7;6.3.2.35;6.3.2.49;6.3.5.9;6.3.5.11;6.3.5.10;6.3.2.41|6.3.2.42;6.3.2.9,6.3.2,6.3.2;6.3.1;6.3.4;3.6.4;2.7.4,6.3.2,6.3.2
32980,3.1.1.111,3.1.1,3.1.1;3.1.2;3.5.5;3.5.1,3.1.1.5;6.3.5.11;6.3.5.9;6.3.5.10;3.1.1.53,3.1.1,3.1.1;2.3.1;2.7.1;2.7.8;3.2.1,3.1.1,3.1.1
33032,1.1.1.14,1.1.1,4.1.3;3.7.1;5.3.1;2.2.1,1.1.1.14|1.1.1.15;1.1.1.406;1.1.1.407;1.1.1.16;1.1.1.289;1.1.1.251;1.6.5.4;1.1.1|1.1.1.264|1.1.1.366;1.1.1.58;1.1.1.69;1.1.1.57;1.1.1.380;1.1.1.414;1.1.1.14|1.1.1.9;1.1.1.12;1.1.1.11;1.1.1.14|1.1.1.56;1.1.1.14|1.1.1.250;1.11.1.1|1.14.12.17,1.1.1,1.1.1;5.3.1;5.1.3;1.1.99;1.17.1,1.1.1,1.1.1
33088,4.1.99.29,1.1.99,4.2.3;5.4.4;5.4.99;3.1.7,1.21.98.1|1.21.99.2;1.1.99.22;2.2.1.1|2.2.1.3;2.7.1.121;1.1.1.14|1.1.1.6;1.1.1.1|1.1.1.10|1.1.1.156|1.1.1.2|1.1.1.21|1.1.1.72|1.3.1.20,4.2.99,5.3.1;4.1.3;4.1.2;5.5.1;1.1.1,1.1.99,1.1.99
33148,7.6.2.2,6.3.4,7.1.1;1.6.1;1.16.3;7.5.2,6.3.2.49;6.3.2.32;6.3.2.8,7.3.2;7.2.2,3.6.1;3.6.5;3.6.4;6.3.5;5.6.2,6.3.2,6.3.2
33156,3.1.3.106,3.1.3,3.1.3;3.1.7;3.1.4;2.5.1,3.1.3.4;4.1.99.25;4.2.3.154;4.2.3.152;2.6.99.2,3.1.3,3.1.3;2.7.8;3.6.1;3.1.7;4.2.3,3.1.3,3.1.3
33276,3.1.1.116,3.1.1,3.5.5;3.1.1;3.5.2;3.5.1,2.3.1.158;2.3.1.20;3.1.3.4,3.1.1,3.1.1;3.2.1;3.6.1;3.1.2;3.5.1,3.1.1,3.1.1
