Reaction name,SIMMER pred
215,1.14.13;1.1.1
352,1.1.1
329,4.1.1
55,2.6.1
322,2.3.1
186,3.1.2;2.3.1
439,3.1.1
170,
163,1.14.12;1.3.1;1.1.1
42,2.3.1
401,
301,2.4.1
32,2.7.7;2.4.1
362,1.14.12;1.1.1
249,3.1.1
303,2.1.1
67,2.3.1
234,3.2.2
16,3.6.1
165,2.1.1;2.5.1
197,1.1.1
221,
192,5.3.3
153,1.1.1
48,3.1.3
169,3.5.4
160,2.3.1
97,3.6.1
456,1.13.12
431,1.14.12;1.1.1
335,1.3.1;1.5.1;1.1.1
478,3.1.1
246,5.3.1
269,1.14.11
386,1.4.3
339,3.4.13
469,1.5.1;1.1.1
219,1.14.11
44,1.13.11
47,5.3.3
416,1.14.13
81,1.1.1
168,5.4.99
488,
343,5.3.3
258,2.4.1
414,
6,5.3.1
393,1.3.1;1.1.1
87,
385,3.5.1
57,2.4.1
23,2.5.1
328,
193,3.5.3
50,1.3.1;1.1.1
105,2.1.1
109,
369,
21,1.3.1;1.1.1
103,
363,1.3.1;1.1.1
458,4.2.1
126,2.4.1
76,2.6.1
357,4.2.1
218,1.1.1
223,3.6.1
398,
370,6.3.1
235,3.1.3
404,2.7.4;2.7.1
324,2.3.1
133,1.14.13;1.1.1
470,4.2.1;5.3.1
30,3.2.1
476,3.1.1
99,2.7.1
125,
288,1.17.1;1.1.1
389,2.4.1
273,3.5.3
443,2.4.1
231,
1,2.4.1
118,2.7.1
496,3.1.3
78,4.1.1
148,3.1.3
481,1.2.3
43,3.1.3
79,2.4.1
314,2.7.1
61,4.1.2
141,
313,1.14.12;1.14.13;1.1.1
77,1.14.12;1.17.1;1.1.1
399,1.1.1
498,
426,2.6.1
214,
395,1.2.1;1.1.1
17,3.2.1
464,2.4.1
336,
462,6.3.4
276,2.7.1
155,2.5.1;3.1.3
351,
378,3.5.1
415,4.2.3
31,4.2.1
95,4.2.3
315,2.4.1
381,6.4.1
425,1.13.11
91,3.5.2
98,2.1.2
222,1.7.1;1.14.13;1.1.1
90,3.1.4
391,2.1.1
143,1.5.1;1.14.13;1.1.1
117,3.1.1
446,3.1.3
266,5.3.3
374,2.1.1
207,2.6.1
424,3.5.1;3.5.4
83,
412,3.6.1
309,1.14.11
154,2.8.1
349,2.3.1
486,2.1.1
270,1.14.11
184,6.3.5
12,4.4.1;4.2.1
24,2.6.1
15,3.1.3
230,5.1.3
325,3.8.1
89,1.14.12;1.1.1
226,3.1.3
74,5.4.99
387,2.8.3
252,1.2.1
445,2.1.1
199,1.4.1;1.1.1
112,2.5.1
80,1.14.11
114,1.1.1
274,6.3.5
115,2.3.1
110,1.14.13;1.1.1
472,5.4.99
239,2.4.1
22,2.1.1
107,3.6.1
277,1.5.1;1.1.1
206,1.1.1
54,5.4.2
344,3.6.1
10,2.4.2;2.4.1
3,1.5.1;1.1.1
280,1.14.13;1.17.1;1.1.1
278,3.4.13
72,5.1.3
34,2.8.3
264,1.1.1
327,3.6.1
463,2.1.1
495,4.4.1
190,3.1.3
307,4.1.99
173,2.4.1
194,
330,4.2.3
355,6.3.4;2.7.1
41,4.2.3
93,2.7.1
178,1.5.1;1.1.1
406,2.3.1
86,2.3.1
171,2.1.1
245,1.14.13;1.1.1
383,3.5.1
51,2.3.1
33,2.6.1
467,3.1.1
364,4.2.3
423,
